Checked out to  Name,user email,Category,Name,Manufacturer,Model,SerialNumber,CheckoutEquipmentID,RoomNumber,DANMSpecs,purchase date,purchase cost
,,Cables-Adapters-Dongles,MiniDisplay Port to DVI Dongle,Apple,,,420768,,,,
,,Converters-Switches-Splitters,Sony AV Switch,Sony,SB-V40,n/a,420139,,"(4) RCA inputs, (1) RCA output and (1) 1/8"" TRS output.",,
,,Converters-Switches-Splitters,Terk AV Switch,Terk,VS-4,27808672,420140,,"(4) RCA & S-Video inputs, (1) RCA & S-Video output and (1) 1/8"" TRS output.",,
,,Converters-Switches-Splitters,PC to Video EX Switcher,Grandtec,GEZ-1000,200908200673479,420524,,"VGA input, VGA/S-Video/Composite output.switcher, VGA, S-Video, RCA, USB to DC cable, and user guide.",,
,,Converters-Switches-Splitters,AV Switch,RadioShack,15-1976,07A02,420652,,"(4) RCA & S-Video inputs, (1) RCA & S-Video output.",,
,,Converters-Switches-Splitters,AverKey iMicro PC/Mac to TV Scan Converter,AverMedia,KOC3,30496 2030,420306,,"PC/Mac-to-TV conversion - can easily project any computer application onto a big screen TV or save it into a VCR. Start a business presentation, create training tapes, display animations, play games or surf the Internet on a big TV Screen in seconds. AVerMedia AVerKey iMicro supports resolutions up to 1280 x 1024 for both PC and Mac. It comes with Touch-Button control panel, zoom and pan, picture positioning and much mo Converter box, 7.5V dc power supply.",,
,,Mobile Devices,iPod Touch,Apple,A1288,8k0024yn75j,420372,,"8 GB capacity iPod, plastic hardshell case.",,
,,Video Miscellaneous,AV Distribution Amplifier,datavideo,VP-299,10203,420065,,"(1) RCA & S-Video input, and (4) RCA & S-Video outputs.amplifier console, 12V dc power supply",,
,,Video Miscellaneous,RF Modulator,Gemini,PH61159,613,420194,,RF Modulator with Composite and S-Video Inputs,,
,,VR/Video Game Equipment,XBOX Gaming System 420720,Microsoft,232301240424605,301240424605,420720,,"Gaming system set for three players, with one game included in the kit. XBOX console, (2) HipGear wireless controllers with wireless controller host, wired XBOX controller, RCA cable, IAC power cable, and ""Tony HAwk Pro Skater 4"" game.",,
,,Displays,"17"" Cinema Display",Apple,A1081,2A602012UFZ,420094,0104,"DVI, USB, and Firewire 400 connection.monitor, 65w power adapter (model: A1096).",,
,,Displays,"S1 17"" LCD Widescreen Display",Acer,AL1913W bm,ETL430900553000317PQ00,420105,0151,VGA connection. Monitor and 12Vdc to AC power supply.,,
,,General,"12"" Desk Fan",HomeBasix,,628-5456,420770,0203A,,,
,,Projectors,Slide Projector and Monitor,,,,420837,0203A,,,
,,Projectors,Projector Screen Material,Carl's Place,,,420871,0203B,2'' Polyester Felt,,
,,Video Players-Recorders,Portable TV/DVD Player,broksonic,CCVG-297,065221004953,420849,0203B,,,
,,Audio Miscellaneous,Proteus/1 Plus Orchestral Rack-Mounted Sound Module,E-mu Systems,9025,019301651D,420772,0203C,"This rack-mounted module offers 384 sound samples; MIDI inputs and 1/4"" outputs.",,
,,Audio Miscellaneous,Proteus/1 Plus Orchestral Rack-Mounted Sound Module,E-mu Systems,9025,019301636D,420771,0203C,"This rack-mounted module offers 384 sound samples; MIDI inputs and 1/4"" outputs.",,
,,Audio Miscellaneous,"Camera Mounted XLR to 1/8"" stereo",Beachtek,DXA-4P,n/a,420714,0203C,"This allows one to use a stereo balanced xlr mic in to a trss 1/8"" connector. Perfect for a powered shotgun mic on top of an SLR camera. This unit will work with all camcorders (including Canon GL-1, Optura PI, ZR-10, Panasonic AG-EZ1 and AG-DVC10) with the exception of the Sony DCR-VX1000, VX700 and Panasonic AG-EZ30.",,
,,Audio Miscellaneous,Micro-Phono PP400 Preamp,Behringer,PP400,s1314100492,420857,0203C,,,
,,Audio Miscellaneous,Korg Little Bits Synth Kit,,,,420907,0203C,,,
,,Audio Miscellaneous,Polycom Sound Station 420953,Polycom,,12794184,420953,0203C,,,
,,Audio Miscellaneous,Headphones Sony MDR-ZX100,Sony,MDR-ZX100,,420955,0203C,,,
,,Audio Miscellaneous,Headphones Sony MDR-ZX100,Sony,MDR-ZX100,,420959,0203C,,,
,,Audio Miscellaneous,Headphones Sony MDR-ZX100,Sony,MDR-ZX100,,420958,0203C,,,
,,Audio Miscellaneous,Headphones Sony MDR-ZX100,Sony,MDR-ZX100,,420957,0203C,,,
,,Audio Miscellaneous,Headphones Sony MDR-ZX100,Sony,MDR-ZX100,,420956,0203C,,,
,,Audio Mixers,Rolls MX422 Field Mixer,Rolls,MX422,523736,420082,0203C,"Portable field mixer; four channel inputs, microphone/line mixer with balanced XLR inputs and outputs. Mixer, nylon carrying case with shoulder strap, 12Vdc power supply, 1/8"" to 1/8"" cable, and User Guide.",,
,,Audio Mixers,Rolls HA43 Headphone Amplifier,Rolls,HA43,5461127,420114,0203C,"Four 1/4"" ins/outs to one 1/4"" in/out. headphone amplifier, 12VDC power supply",,
,,Audio Mixers,Headphone Amp,Artceessories,n/a,n/a,420119,0203C,"Four output stereo headphone amp Head Amp, 12V DC power supply",,
,,Audio Mixers,Multimix8 Firewire Mixer,Alesis,Multimix8 Firewire,ALXF1005301,420141,0203C,"Mixer, USB A to B, Firewire 400 cable, (2) 1/4"" to 1/4"" cables, 18V power supply, padded carrying case, and User Manual.",,
,,Audio Mixers,"4 Channel Stereo Mixer, Passive",Rolls,MX41b,641927,420186,0203C,"4 stereo inputs (1/4 inch and 3.5mm) with sliders, and one stereo output (1/4 inch and 3.5mm). Good as a small mixer and for headphone splitter.",,
,,Audio Mixers,4-Channel Ultra-Compact Mixer 420859,,,,420859,0203C,,,
,,Audio Recorders,Marantz Solid State Recorder,Marantz,PMD660,20020527013130,420067,0203C,"Recorder, USB A to B cable, 5Vdc power supply, 1 GB Compact Flash card.",,
,,Audio Recorders,Marantz Solid State Recorder 420084,Marantz,PMD660,20020527013129,420084,0203C,"Marantz, AC power adapter (model no. DA660PMD) with 2 pin IAC cable, 2 GB CompactFlash card",,
,,Audio Recorders,Marantz Solid State Recorder 420085,Marantz,PMD660,20010516008717,420085,0203C,"Recorder, 2 GB Compact Flash card, 5V DC power supply, USB A to B cable, and shoulder strap.",,
,,Audio Recorders,Marantz Solid State Recorder 420089,Marantz,PMD660,20010516008716,420089,0203C,"Marantz, AC power adapter (model no. DA660PMD) with 2 pin IAC cable, Recorder corded remote, USB A/B cable, 2 GB CompactFlash card, black nylon carrying case, shoulder strap attached to the recorder",,
,,Audio Recorders,Voice Path JK Audio,"JK Audio, Inc.",,VP01949,420278,0203C,"Phone tap recorder voice path module with connected cables, telephone line",,
,,Audio Recorders,Zoom H2 Handy Recorder 420337,Zoom,H2,216361,420337,0203C,"Digital audio recorder with 1 GB SD card and internal mics. Recorder, 1 GB SD card, 9Vdc power supply, 1/8"" to RCA cable, recorder stand, recorder handle, silicon case, and User Manual.",,
,,Audio Recorders,Zoom H4n Handy Recorder,Zoom,H4n,99956,420408,0203C,"Digital audio recorder with 1 GB SD card, two XLR (or 1/4) inputs, and internal mics.Recorder, plastic hardshell case, mini-tripod, windscreen, 5Vdc/1A power supply, USB to mini USB cable, 1GB SD card in recorder, and User Manual.",,
,,Audio Recorders,Voice Path JK Audio,"JK Audio, Inc.",,VP02124,420446,0203C,"Phone tap recorder voice path module with connected cables, telephone line voice path module with connected cables, telephone line",,
,,Audio Recorders,Zoom H2n Handy Recorder 420672,Zoom,H2n,13631,420672,0203C,"Digital audio recorder with internal mic and 1/8"" line in; comes with 2GB SD card. Recorder, 2 GB SD card, foam windscreen, furry windscreen, UBS to AC power adapter, USB to mini USB cable, 1/8"" remote control, 1/8"" extension cable, mini tripod, mic clip handle, and User Manual.",,
,,Audio Recorders,Portable Cassette Recorder     ,Panasonic,RQ-2102,UA3GB002819,420885,0203C,,,
,,Cables-Adapters-Dongles,"50"" VGA Cable",n/a,n/a,n/a,420103,0203C,,,
,,Cables-Adapters-Dongles,"70"" Firewire 400 Cable",n/a,n/a,n/a,420166,0203C,,,
,,Cables-Adapters-Dongles,MiniDisplay Port to DVI Dongle,Xcellon,n/a,n/a,420168,0203C,,,
,,Cables-Adapters-Dongles,MiniDisplay Port to DVI Dongle,Xcellon,n/a,n/a,420249,0203C,,,
,,Cables-Adapters-Dongles,MiniDisplay Port to DVI Dongle,Xcellon,n/a,n/a,420255,0203C,,,
,,Cables-Adapters-Dongles,DVI to VGA adapter,Apple,n/a,n/a,420477,0203C,,,
,,Cables-Adapters-Dongles,MiniDisplay Port to VGA Dongle 420501,Xcellon,n/a,,420501,0203C,,,
,,Cables-Adapters-Dongles,HDMI Extender,n/a,n/a,n/a,420522,0203C,"HDMI coupler, 5V AC/DC power adapter.",,
,,Cables-Adapters-Dongles,MiniDisplay Port to VGA adapter,Apple,A1307,n/a,420627,0203C,,,
,,Cables-Adapters-Dongles,"50"" VGA Cable",n/a,n/a,n/a,420633,0203C,,,
,,Cables-Adapters-Dongles,DVI to VGA adapter,Apple,n/a,n/a,420648,0203C,,,
,,Cables-Adapters-Dongles,DVI to VGA adapter,Apple,n/a,n/a,420649,0203C,,,
,,Cables-Adapters-Dongles,MiniDisplay Port to DVI Dongle,Xcellon,n/a,n/a,420658,0203C,,,
,,Cables-Adapters-Dongles,DVI to VGA adapter,Apple,n/a,n/a,420671,0203C,,,
,,Cables-Adapters-Dongles,MiniDisplayPort to DVI with USB adapter,Apple,A1306,,420732,0203C,,,
