Checked out to  Name,user email,Category,Name,Manufacturer,Model,SerialNumber,CheckoutEquipmentID,RoomNumber,DANMSpecs,purchase date,purchase cost
,,Electronics,Lego MindStorms,Lego,Lego MindStorms,temp1,421127,203C Checkout Closet,,10/18/15,349.95
,,Books,The LEGO MINDSTORMS EV3 Discovery Book,No Starch Press,The LEGO MINDSTORMS EV3 Discovery Book,ISBN-10: 1593275323,421128,203C Checkout Closet,A Beginners Guide to Building and Programming Robots,10/18/15,21.5
,,Electronics,Snap Circuits Extreme ,Snap Circuits,Snap Circuits Extreme ,temp2,temp1,203C Checkout Closet,Student Electronics Training Program,10/18/15,
,,Electronics,Snap Circuits Motion Electronics Discovery Kit,Snap Circuits,Snap Circuits Motion Electronics Discovery Kit,temp3,temp2,203C Checkout Closet,requires 4xAA Batteries,10/18/15,56.11
,,Electronics,500-in-One Electronic Project Lab,Elenco ,500-in-One Electronic Project Lab,temp4,temp3,203C Checkout Closet,,10/18/15,249.96
,,Cables,50-foot XLR Microphone Cable,Cable Matters,50-foot XLR Microphone Cable,temp5,temp4,203C Checkout Closet,16 AWG,10/9/15,12.48
,,Cables,50-foot XLR Microphone Cable,Cable Matters,50-foot XLR Microphone Cable,temp6,temp5,203C Checkout Closet,16 AWG,10/9/15,12.48
,,Cables,100-foot XLR Microphone Cable,GLS Audio,100-foot XLR Microphone Cable,temp7,temp6,203C Checkout Closet,,10/9/15,29.98
,,Cables,100-foot XLR Microphone Cable,GLS Audio,100-foot XLR Microphone Cable,temp8,temp7,203C Checkout Closet,,10/9/15,29.98
,,Cables,25-foot XLR Microphone Cable,Cable Matters,25-foot XLR Microphone Cable,temp9,temp8,203C Checkout Closet,16 AWG,10/9/15,13.5
,,Cables,25-foot XLR Microphone Cable,Cable Matters,25-foot XLR Microphone Cable,temp10,temp9,203C Checkout Closet,16 AWG,10/9/15,13.5
,,Cables,1/8-inch TRS to Dual 1/4-inch TS 3-foot  Stereo Breakout Cable,Hosa,1/8-inch TRS to Dual 1/4-inch TS 3-foot  Stereo Breakout Cable,temp11,temp10,203C Checkout Closet,,10/8/15,5.24
,,Cables,1/8-inchTRS to Dual 1/4-inchTS 3-foot Stereo Breakout Cable,Hosa,1/8-inchTRS to Dual 1/4-inchTS 3-foot Stereo Breakout Cable,temp12,temp11,203C Checkout Closet,,10/8/15,5.24
,,Cables,1/8-inchTRS to Dual XLR 10-foot Stereo Breakout Cable,Hosa,1/8-inchTRS to Dual XLR 10-foot Stereo Breakout Cable,temp13,temp12,203C Checkout Closet,,10/8/15,12.95
,,Cables,1/8-inchTRS to Dual XLR3M 10-foot  Stereo Breakout Cable,Hosa,1/8-inchTRS to Dual XLR3M 10-foot  Stereo Breakout Cable,temp14,temp13,203C Checkout Closet,,10/8/15,12.95
,,Cables,1/8-inchTRS to Dual 1/4-inchTS 10-foot Stereo Breakout Cable,Hosa,1/8-inchTRS to Dual 1/4-inchTS 10-foot Stereo Breakout Cable,temp15,temp14,203C Checkout Closet,,10/8/15,7.46
,,Cables,1/8-inchTRS to Dual 1/4-inchTS 10-foot Stereo Breakout Cable,Hosa,1/8-inchTRS to Dual 1/4-inchTS 10-foot Stereo Breakout Cable,temp16,temp15,203C Checkout Closet,,10/8/15,7.46
