Checked out to Name,User Email,Username,Asset Name,Asset Category,Asset Model,Asset Manufacturer,Asset Model Number,Asset Serial,Asset Tag,Asset Location,Asset Notes,Asset Purchase Date,Asset Purchase Cost
,,,Naiant Audio (Pair),Microphones,Naiant Audio Omnidirectional (Pair),Naiant Audio,Naiant OX,,,217 David Dunn,,,
,,,Audio Technica BP4025 Stereo Microphone (Pair),Microphones,Audio Technica Pro 37 Omnidirectional (Pair),Audio Technica,Pro 37,,,217 David Dunn,,,
,,,Rode NT1A Large Diaphrahm Condensor (Modified) w/ Windscreen,Microphones,Rode NT1A Large Diaphrahm Condensor (Modified) w/ Windscreen,Rode,NT1A,,421145,217 David Dunn,,,
,,,Rode NT1A Large Diaphrahm Condensor (Modified) w/ Windscreen,Microphones,Rode NT1A Large Diaphrahm Condensor (Modified) w/ Windscreen,Rode,NT1A,,421146,217 David Dunn,,,
,,,DPA 5100 5.1 Surround Microphone,Microphones,DPA 5100 5.1 Surround Microphone,DPA,5100,,421147,217 David Dunn,,,
,,,Tascam DR-40 Field Recorder,Recorders,Tascam DR-40 Field Recorder,Tascam,DR-40,444834,421130,217 David Dunn,,,
,,,Tascam DR-40 Field Recorder,Recorders,Tascam DR-40 Field Recorder,Tascam,DR-40,444833,421131,217 David Dunn,,,
,,,Tascam DR-680 Field Recorder,Recorders,Tascam DR-680 Field Recorder,Tascam,DR-680,220192,421132,217 David Dunn,,,
,,,Tascam DR-680 Field Recorder,Recorders,Tascam DR-680 Field Recorder,Tascam,DR-680,240047,421133,217 David Dunn,,,
,,,Tascam HD-P2 Field Recorder,Recorders,Tascam HD-P2 Field Recorder,Tascam,HD-P2,100298,421134,217 David Dunn,,,
,,,Sony Parabolic PBR-300,Hardware,Sony Parabolic PBR-300,Sony,PBR-300,,,217 David Dunn,,,
,,,Sennheiser MKH 20 Omnidirectional,Microphones,Sennheiser MKH 20 Omnidirectional,Sennheiser ,MKH 20,,,217 David Dunn,,,
,,,Zoom H4N,Recorders,H4N,Zoom,H4N,,421137,217 David Dunn,,,
,,,Zoom F8,Recorders,F8,Zoom,F8,,421136,217 David Dunn,,,
,,,Zoom H6,Recorders,H6,Zoom,H6,14853,421135,217 David Dunn,,,
,,,8-Channel Ambisonic Playback,Speakers,8-Channel Ambisonic Playback,,,,,217 David Dunn,,,
,,,Crown SASS-P MKII Stereo Boundary Microphone,Microphones,Crown SASS-P MKII Stereo Boundary Microphone,Crown,SASS-P MKII,,,217 David Dunn,,,
,,,Aquarius Hydrophone,Microphones,Aquarius Hydrophone,Aquarius,Hydrophone,,,217 David Dunn,,,
,,,PSC DV Promix 3 Field Mixer,Mixers,PSC DV Promix 3 Field Mixer,PSC,DV Promix 3,,421138,217 David Dunn,,,
,,,Sennheiser MKH series Condenser Microphones (MS pair of cardioid & figure8),Microphones,Sennheiser MKH series Condenser Microphones (MS pair of cardioid & figure8),Sennheiser,MKH30 & 40,,,217 David Dunn,,,
,,,Sound Devices 702 stereo digital recorder (up to 192kHz sample rate),Recorders,Sound Devices 702 stereo digital recorder (up to 192kHz sample rate),Sound Devices,,,421139,217 David Dunn,,,
,,,Custom geophone infrasonic transducer array,Custom,Custom geophone infrasonic transducer array,,,,,217 David Dunn,,,
,,,Custom-made VLF radio receiver to pickup natural radio emissions,Custom,Custom-made VLF radio receiver to pickup natural radio emissions,Custom-made,VLF receiver,,,217 David Dunn,,,
,,,Custom-made hydrophone,Custom,Custom-made hydrophone,Custom-made,hydrophone,,,217 David Dunn,,,
,,,Custom-made ultrasonic boundary microphone,Custom,Custom-made ultrasonic boundary microphone,Custom-made,boundary microphone,,,217 David Dunn,,,
,,,Custom-made ultrasonic boundary microphone,Custom,Custom-made ultrasonic boundary microphone,Custom-made,boundary microphone,,,217 David Dunn,,,
,,,Custom-made ultrasonic boundary microphone,Custom,Custom-made ultrasonic boundary microphone,Custom-made,boundary microphone,,,217 David Dunn,,,
,,,Custom-made ultrasonic boundary microphone,Custom,Custom-made ultrasonic boundary microphone,Custom-made,boundary microphone,,,217 David Dunn,,,
,,,Custom-made ultrasonic microphone preamp,Custom,Custom-made ultrasonic microphone preamps ,Custom-made,microphone preamps,,,217 David Dunn,,,
,,,Sony Headphones MDR-7506,Headphones,Sony Headphones MDR-7506,Sony,MDR-7506,,421140,217 David Dunn,,,
,,,Sony Headphones MDR-7506,Headphones,Sony Headphones MDR-7506,Sony,MDR-7506,,421141,217 David Dunn,,,
,,,Sony Headphones MDR-7506,Headphones,Sony Headphones MDR-7506,Sony,MDR-7506,,421142,217 David Dunn,,,
,,,Sony Headphones MDR-V500,Headphones,Sony Headphones MDR-V500,Sony,MDR-V500,,421143,217 David Dunn,,,
,,,Sony Headphones MDR-V500,Headphones,Sony Headphones MDR-V500,Sony,MDR-V500,,421144,217 David Dunn,,,
,,,Core Ambisonic Tetramic Microphone,Microphones,Core Ambisonic Tetramic Microphone,Core Audio,Tetramic,,,217 David Dunn,,,
