Checked out to  Name,user email,Category,Name,Manufacturer,Model,SerialNumber,Asset Tag,RoomNumber,DANMSpecs,purchase date,purchase cost
,,Electronics,MeasureUp Multimeter,Etekcity,H150472077,USO1413F15-01,421039,104A Laser Cutter & Electronics Lab,,9/25/15,16.98
,,Electronics,Bench Top ESD-Safe Smoke Absorber,Hakko,FA400,,421032,104A Laser Cutter & Electronics Lab,used for filtering solder fumes,9/3/15,61.9
,,Video Players-Recorders,FireStick,Amazon,HDMI,,421033,,"with remote, HDMI, power",,
,,Stands,Telescoping Boom Pole for Overhead Shotgun Microphone,Rode,MICROBOOMPOLE,,421051,203C Checkout Closet,,9/18/15,49
,,Input Devices,Trigger Pedal / Sustain Pedal,Yamaha,FC-5,,421046,203C Checkout Closet,,9/23/15,12.99
,,Electronics,MeasureUp Digital Multimeter,Etekcity,MU600,USO1489F15-01,421041,104A Laser Cutter & Electronics Lab,,9/25/15,9.48
,,Electronics,MeasureUp Digital Multimeter,Etekcity,MU600,USO1489F15-01,421042,104A Laser Cutter & Electronics Lab,,9/25/15,9.48
,,Electronics,MeasureUp Digital Multimeter,Etekcity,MU600,USO1489F15-01,421043,104A Laser Cutter & Electronics Lab,,9/25/15,9.48
,,Electronics,MeasureUp Digital Multimeter,Etekcity,MU600,USO1489F15-01,421044,104A Laser Cutter & Electronics Lab,,9/25/15,9.48
,,Electronics,QuadHands Large Helping Hands,Hakko,QX4,,421050,104A Laser Cutter & Electronics Lab,,9/25/15,47.95
,,Electronics,Digital Soldering Station,Hakko,FX888D-23BY,05 8883 1505 1229,421038,104A Laser Cutter & Electronics Lab,,9/25/15,96.72
,,Electronics,Helping Hands with Magnifying Glass,SE,MZ101B ,,421045,104A Laser Cutter & Electronics Lab,,9/25/15,6.34
,,Electronics,Helping Hands with Magnifying Glass,SE,MZ101B ,,421047,104A Laser Cutter & Electronics Lab,,9/25/15,6.34
,,Electronics,Helping Hands with Magnifying Glass,SE,MZ101B ,,421048,104A Laser Cutter & Electronics Lab,,9/25/15,6.34
,,Electronics,Helping Hands with Magnifying Glass,SE,MZ101B ,,421049,104A Laser Cutter & Electronics Lab,,9/25/15,6.34
,,Audio Amplifiers,pcDI Stereo Link Interface / DI Box,Whirlwind,pcDI,,421031,108 Dark Lab,"1/8-inch, 1/4-inch,  RCA inputs with 2x XLR outputs and ground lift",,
,,Tools,Heat Gun,Wagner,503172,,421024,104A Laser Cutter & Electronics Lab,1200-watt / 4100 BTUs with a temperature setting of 750å¡ F or 1000å¡ F,4/3/15,18.98
,,Tools,Heavy-Duty Staple Gun,DeWalt,DWHTTR350,GID-286785,421028,225 Rapid Prototyping Lab,,4/15/14,25.18
,,Tools,Xacto Knife Set,Xacto,X5282,,421023,104A Laser Cutter & Electronics Lab,,4/13/15,16.29
,,Mobile Devices,Jennifer Parker's iPad,Apple,iPad,,421002,203C Checkout Closet,,,
,,Printers and Scanners,USB Label Maker / Printer,Brother,PTD600VP,U63942-M42434615,421013,203C Checkout Closet,,7/15/15,86.99
,,Electronics,Multimeter,Innova,3320,2376263,420963,104A Laser Cutter & Electronics Lab,,,
,,Electronics,Multimeter,Velleman,DVM850BL,20051901254,421022,104A Laser Cutter & Electronics Lab,,,
,,Projectors,Small Projector,Optoma,ML500,Q8LK139AAAAAC0149,421021,203C Checkout Closet,available from Kristin's personal collection,,
,,Input Devices,USB Mouse,Logitech,M-UAE96,810-002141,421020,203C Checkout Closet,,,
,,Input Devices,USB Mouse,Logitech,M100,LZ9400R04BK,421019,203C Checkout Closet,,,
,,Headphones,Headphones,Sony,MDR-V150,,421018,203C Checkout Closet,,,
,,Electronics,Solder / Desolder Station,XYTronic,LF7000,108451,421027,104A Laser Cutter & Electronics Lab,double check model,,
,,Computers,Quantum Byte Mini Desktop PC with Windows 8.1,AZULLE,"Quantum Byte QS-1043-QB
",2.66704E+12,421012,203C Checkout Closet,"Intel Atom Z3735F, 2GB RAM+32GB storage",7/6/15,169.99
,,Input Devices,Scroll Endurance Vertical USB Mouse,Etekcity,25706341721,US01149A1500431,421009,203C Checkout Closet,"Optical USB Wired, Adjustable DPI, 6 Buttons, Removable Palm Rest and Thumb Buttons",7/8/15,19.99
,,Input Devices,USB Mouse,Amazon Basics,MSU0939,5F005000798,421008,104A Laser Cutter & Electronics Lab,purchased with keyboard,7/8/15,7.5
,,Input Devices,USB Keyboard,Amazon Basics,KU-0833,5F005000798,421007,203C checkout Closet,purchase with mouse,7/8/15,7.49
,,Computers,All-in-One workstation with Touchscreen,HP,Z1-G2,,421003,225 Rapid Prototyping Lab,,,
,,Input Devices,Wireless Mouse,HP,Z1-G2,,421005,225 Rapid Prototyping Lab,purchased with computer,,
,,Input Devices,Wireless Keyboard,HP,Z1-G2,,421004,225 Rapid Prototyping Lab,purchased with computer,,
,,Lighting,G40 Globe String Lights,DENEVE,Generic,,421010,104 Grad Lab,,7/24/15,19.99
,,Lighting,G40 Globe String Lights,DENEVE,Generic,,421011,104 Grad Lab,,7/24/15,19.99
,,Input Devices,USB Gaming Mouse,REDRAGON,CENTROPHORUS M601,14120010282,421006,104 Grad Lab,,7/8/15,13.99
